ID,Local,Região,Categoria,Status,Latitude,Longitude,Endereço,Fonte / mapa
L01,Hotel — 340 W 40th St,Midtown West,Base,Base logística,40.75694,-73.99316,"340 W 40th St, New York, NY 10018",https://www.google.com/maps/search/?api=1&query=340+W+40th+St+New+York+NY+10018
L02,The Mills at Jersey Gardens,"Elizabeth, NJ",Compras,Considerado,40.66006,-74.17153,"651 Kapkowski Rd, Elizabeth, NJ 07201",https://www.wikidata.org/wiki/Q6184865
L03,American Museum of Natural History,Upper West Side,Museu,Considerado,40.78132,-73.97399,"200 Central Park W, New York, NY 10024",https://www.amnh.org/plan-your-visit
L04,New York Aquarium,Coney Island,Aquário,Considerado,40.57437,-73.97541,"602 Surf Ave, Brooklyn, NY 11224",https://nyaquarium.com/plan-your-visit
L05,Coney Island Boardwalk,Coney Island,Passeio,Considerado,40.5733,-73.9788,"Riegelmann Boardwalk, Brooklyn, NY",https://www.wikidata.org/wiki/Q4380603
L06,QC NY Spa,Governors Island,Spa,Considerado,40.6929,-74.01782,"112 Andes Rd, Governors Island, New York, NY 10004",https://www.qcny.com/contacts
L07,WORLD SPA,"Midwood, Brooklyn",Spa,Alternativa,40.61532,-73.9764,"1571 McDonald Ave, Brooklyn, NY 11230",https://worldspa.com/hours-and-directions/
L08,ARTE MUSEUM New York,Chelsea Piers,Exposição imersiva,Adicionado,40.74755,-74.01055,"61 Chelsea Piers, New York, NY 10011",https://newyork.artemuseum.com/visit
L09,Chelsea Market,Chelsea,Mercado / gastronomia,Considerado,40.74205,-74.0049,"75 9th Ave, New York, NY 10011",https://www.chelseamarket.com/visit
L10,High Line — Chelsea/Gansevoort,Chelsea,Parque / caminhada,Considerado,40.74218,-74.0078,"High Line, Chelsea, New York, NY",https://maps.apple.com/place?place-id=ID3231FEF41AC9097
L11,Little Island,Hudson River / Chelsea,Parque,Considerado,40.74201,-74.01061,"Pier 55, Hudson River Park, New York, NY 10014",https://mapcarta.com/W833335529
L12,MoMA,Midtown,Museu,Considerado,40.76161,-73.97755,"11 W 53rd St, New York, NY 10019",https://www.moma.org/visit/
L13,Rockefeller Center,Midtown,Marco / passeio,Considerado,40.75885,-73.9788,"45 Rockefeller Plaza, New York, NY 10111",https://mapcarta.com/22614096
L14,St. Patrick's Cathedral,Midtown,Igreja / marco,Considerado,40.75859,-73.9763,"625 5th Ave, New York, NY 10022",https://www.wikidata.org/wiki/Q624556
