Par,Origem ID,Origem,Destino ID,Destino,Distância reta (km),Modo recomendado,Tempo estimado (min),Tempo planejamento (min),Confiança,Observação
L01-L02,L01,Hotel — 340 W 40th St,L02,The Mills at Jersey Gardens,18.5,Ônibus intermunicipal / shuttle,40,45,Média,Tempo de planejamento a partir da região de Port Authority.
L01-L03,L01,Hotel — 340 W 40th St,L03,American Museum of Natural History,3.16,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L04,L01,Hotel — 340 W 40th St,L04,New York Aquarium,20.36,Metrô + caminhada,80,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L05,L01,Hotel — 340 W 40th St,L05,Coney Island Boardwalk,20.46,Metrô + caminhada,80,95,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L06,L01,Hotel — 340 W 40th St,L06,QC NY Spa,7.42,Ferry + metrô/ônibus/caminhada,49,60,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L01-L07,L01,Hotel — 340 W 40th St,L07,WORLD SPA,15.81,Metrô + caminhada,66,85,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L08,L01,Hotel — 340 W 40th St,L08,ARTE MUSEUM New York,1.8,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L09,L01,Hotel — 340 W 40th St,L09,Chelsea Market,1.93,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L10,L01,Hotel — 340 W 40th St,L10,High Line — Chelsea/Gansevoort,2.05,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L11,L01,Hotel — 340 W 40th St,L11,Little Island,2.22,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L12,L01,Hotel — 340 W 40th St,L12,MoMA,1.41,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L13,L01,Hotel — 340 W 40th St,L13,Rockefeller Center,1.23,Caminhada,22,30,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L14,L01,Hotel — 340 W 40th St,L14,St. Patrick's Cathedral,1.43,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L15,L01,Hotel — 340 W 40th St,L15,Bryant Park,0.88,Caminhada,16,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L16,L01,Hotel — 340 W 40th St,L16,NYPL — Schwarzman Building,1.01,Caminhada,18,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L17,L01,Hotel — 340 W 40th St,L17,Grand Central Terminal,1.42,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L18,L01,Hotel — 340 W 40th St,L18,Tudor City Overpass,2.1,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L19,L01,Hotel — 340 W 40th St,L19,United Nations Headquarters,2.31,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L20,L01,Hotel — 340 W 40th St,L20,Moynihan Train Hall,0.65,Caminhada,12,15,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L21,L01,Hotel — 340 W 40th St,L21,Herald Square,0.88,Caminhada,16,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L22,L01,Hotel — 340 W 40th St,L22,Empire State Building,1.14,Caminhada,20,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L23,L01,Hotel — 340 W 40th St,L23,Madison Square Garden,0.71,Caminhada,13,20,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L24,L01,Hotel — 340 W 40th St,L24,Gerald Schoenfeld Theatre — Broadway,0.51,Caminhada,6,8,Alta,Mesmo cluster; tempo operacional curto.
L01-L25,L01,Hotel — 340 W 40th St,L25,Times Square,0.6,Caminhada,8,10,Alta,Mesmo cluster; tempo operacional curto.
L01-L26,L01,Hotel — 340 W 40th St,L26,Flatiron Building,1.79,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L27,L01,Hotel — 340 W 40th St,L27,The Battery,6.31,Metrô/ônibus + caminhada,29,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L28,L01,Hotel — 340 W 40th St,L28,Chinatown — Columbus Park,4.69,Metrô/ônibus + caminhada,24,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L29,L01,Hotel — 340 W 40th St,L29,Brooklyn Bridge,5.71,Metrô/ônibus + caminhada,27,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L30,L01,Hotel — 340 W 40th St,L30,DUMBO — Washington & Water,5.98,Metrô + caminhada,32,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L31,L01,Hotel — 340 W 40th St,L31,Brooklyn Bridge Park — Pier 1,6.1,Metrô + caminhada,32,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L01-L32,L01,Hotel — 340 W 40th St,L32,Brooklyn Heights Promenade,6.6,Metrô + caminhada,34,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L02-L03,L02,The Mills at Jersey Gardens,L03,American Museum of Natural History,21.42,Ônibus intermunicipal + caminhada,54,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L04,L02,The Mills at Jersey Gardens,L04,New York Aquarium,19.1,Ônibus intermunicipal + caminhada,96,110,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L05,L02,The Mills at Jersey Gardens,L05,Coney Island Boardwalk,18.91,Ônibus intermunicipal + caminhada,97,110,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L06,L02,The Mills at Jersey Gardens,L06,QC NY Spa,13.47,Ônibus intermunicipal + caminhada,70,80,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L07,L02,The Mills at Jersey Gardens,L07,WORLD SPA,17.2,Ônibus intermunicipal + caminhada,86,100,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L08,L02,The Mills at Jersey Gardens,L08,ARTE MUSEUM New York,16.7,Ônibus intermunicipal + caminhada,51,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L09,L02,The Mills at Jersey Gardens,L09,Chelsea Market,16.75,Ônibus intermunicipal + caminhada,51,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L10,L02,The Mills at Jersey Gardens,L10,High Line — Chelsea/Gansevoort,16.55,Ônibus intermunicipal + caminhada,52,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L11,L02,The Mills at Jersey Gardens,L11,Little Island,16.34,Ônibus intermunicipal + caminhada,52,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L12,L02,The Mills at Jersey Gardens,L12,MoMA,19.87,Ônibus intermunicipal + caminhada,50,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L13,L02,The Mills at Jersey Gardens,L13,Rockefeller Center,19.61,Ônibus intermunicipal + caminhada,56,70,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L14,L02,The Mills at Jersey Gardens,L14,St. Patrick's Cathedral,19.77,Ônibus intermunicipal + caminhada,50,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L15,L02,The Mills at Jersey Gardens,L15,Bryant Park,18.96,Ônibus intermunicipal + caminhada,52,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L16,L02,The Mills at Jersey Gardens,L16,NYPL — Schwarzman Building,19.02,Ônibus intermunicipal + caminhada,54,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L17,L02,The Mills at Jersey Gardens,L17,Grand Central Terminal,19.36,Ônibus intermunicipal + caminhada,50,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L18,L02,The Mills at Jersey Gardens,L18,Tudor City Overpass,19.62,Ônibus intermunicipal + caminhada,52,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L19,L02,The Mills at Jersey Gardens,L19,United Nations Headquarters,19.87,Ônibus intermunicipal + caminhada,52,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L20,L02,The Mills at Jersey Gardens,L20,Moynihan Train Hall,17.99,Ônibus intermunicipal + caminhada,49,60,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L21,L02,The Mills at Jersey Gardens,L21,Herald Square,18.46,Ônibus intermunicipal + caminhada,52,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L22,L02,The Mills at Jersey Gardens,L22,Empire State Building,18.49,Ônibus intermunicipal + caminhada,55,70,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L23,L02,The Mills at Jersey Gardens,L23,Madison Square Garden,18.07,Ônibus intermunicipal + caminhada,50,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L24,L02,The Mills at Jersey Gardens,L24,Gerald Schoenfeld Theatre — Broadway,18.99,Ônibus intermunicipal + caminhada,48,60,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L25,L02,The Mills at Jersey Gardens,L25,Times Square,19.01,Ônibus intermunicipal + caminhada,49,60,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L26,L02,The Mills at Jersey Gardens,L26,Flatiron Building,17.78,Ônibus intermunicipal + caminhada,51,65,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L27,L02,The Mills at Jersey Gardens,L27,The Battery,13.97,Ônibus intermunicipal + caminhada,61,75,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L28,L02,The Mills at Jersey Gardens,L28,Chinatown — Columbus Park,15.7,Ônibus intermunicipal + caminhada,58,70,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L29,L02,The Mills at Jersey Gardens,L29,Brooklyn Bridge,15.62,Ônibus intermunicipal + caminhada,60,75,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L30,L02,The Mills at Jersey Gardens,L30,DUMBO — Washington & Water,16.07,Ônibus intermunicipal + caminhada,64,75,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L31,L02,The Mills at Jersey Gardens,L31,Brooklyn Bridge Park — Pier 1,15.48,Ônibus intermunicipal + caminhada,64,75,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L02-L32,L02,The Mills at Jersey Gardens,L32,Brooklyn Heights Promenade,15.29,Ônibus intermunicipal + caminhada,65,80,Baixa/Média,Estimativa estrutural; trânsito e horário do ônibus podem variar bastante.
L03-L04,L03,American Museum of Natural History,L04,New York Aquarium,23.01,Metrô + caminhada,88,105,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L05,L03,American Museum of Natural History,L05,Coney Island Boardwalk,23.13,Metrô + caminhada,88,105,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L06,L03,American Museum of Natural History,L06,QC NY Spa,10.5,Ferry + metrô/ônibus/caminhada,58,70,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L03-L07,L03,American Museum of Natural History,L07,WORLD SPA,18.46,Metrô + caminhada,74,90,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L08,L03,American Museum of Natural History,L08,ARTE MUSEUM New York,4.86,Metrô/ônibus + caminhada,24,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L09,L03,American Museum of Natural History,L09,Chelsea Market,5.08,Metrô/ônibus + caminhada,25,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L10,L03,American Museum of Natural History,L10,High Line — Chelsea/Gansevoort,5.2,Metrô/ônibus + caminhada,25,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L11,L03,American Museum of Natural History,L11,Little Island,5.35,Metrô/ônibus + caminhada,26,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L12,L03,American Museum of Natural History,L12,MoMA,2.21,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L03-L13,L03,American Museum of Natural History,L13,Rockefeller Center,2.53,Metrô/ônibus + caminhada,17,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
